Genre,S_Lyric,Genre_Index
Hip-Hop,"[Verse 1:] She was on World Star butt naked Had to be 18 or older just to check it She got baby oil on in her bedroom Bunch of dirty laundry all across her bed dude The head rude, super dome She backstage but she ain't no groupie homes Now you know that's a lie, she ready for whatever She'll fuck you good and if you pay her, she'll fuck you better I'm a dog, bitch - can you take a bone She on Model Mayhem with too much makeup on Her and a girl, 2 going at once, plural We in the hotel and I'm making it rain euros She stop giving me head and said ""What's these?"" I said ""My bad, bitch. I just came back",1
Country,love slip through our hands we's better hold on tight Because one of us was wrong don't mean the other one was right Because one of us was wrong don't mean the other one was right,0
Electronic,explain Exactly what I meant,2
Electronic,"get"" Asked mi if mi ready and mi ball out ""Yes"" Before mi could a blink di bwoy pop off mi dress Im say ""tell mi what you like"" and mi say ""bwoy tek a guess"" Im say ""tun round gal, mi a gi ya dat direct"" Couldn't believe mi eyes when mi behold di size of di big cane Think mi did bad but di stab got mi falling down like rain Yo di bwoy insane Finally get a man fi mek mi understand pleasure unpain A gyal nuh bother try realize from the john Cecile now stray You a di betta wuk Any bwoy want ease dem outta luck Hurricane caan move mi cau mi stuck Never knew one man could a really mek mi feel",2
Country,"a bar-x on the rib of every critter you can see and their coats are slick and shiny in the sun, just like you please as they graze up toward valhalla you can almost hear them now sayin 'it don't get much better for a cow' than a little foothills heaven on that northern rocky range and i hope that i'll be back again someday",0
Hip-Hop,"at the fucking karats on your triple beam How you love that? Lexus wit the blue stripe Can you take that Apollo with the white ass pipes 100's, 1000's, millions, damn Like from 6 till noon, I buy a whole building man [Bun B] Bitch we top of the line Never fuck wit niggas that drop a dime Thinking we balling I'll fuck if you mine Your talks is too high. there's some diamonds bout to be blind Stop some time, then you can possibly climb I got Cash Money to prove it Walking and talking like I'm all cute and Refreshing and reuse it With cars you can't purchase While you struggling for 2 G's at churches Nobody searching, they just find and drop the bitch Probably",1
R&B,"matter what we go through We are conquerors Lord, I'm gonna give my problems to You We are conquerors",3
Hip-Hop,til I'm called out by the night I'm a fucking nursery rhyme on the school playground Jumping rope throwing rocks little kids play round Screaming out my name pray not to wake up dead Put a cross on your front door to keep away the Punkinhed Chorus Cross my heart and hope to die Please stick a needle in my eye To keep me blinded to the sight When PunkinHed appears tonight Chorus,1
Hip-Hop,"[DJ Screw: ""It's Goin' Down""] [Chorus - Chamillionaire] (DJ Screw) Last night I had a dream, the north and south had no mo' plex And Houston was the place to be (It's Goin' Down), standin' taller then the rest A dream and memory (It's Goin' Down), of DJ Screw gotta show respect So put ya lighters in the sky with me (It's Goin' Down), R.I.P. this is what was said [Verse] I had a dream I said, ""about who"", the god said Dirty south went nationwide 'cause of DJ Screw, I said ""Is that true""?, the god said, yeah it's true I get to do flows, and wreck show 'cause of DJ Screw I'm fed But don't be mislead, you the reason we get bread Please tell him",1
Hip-Hop,"that type of shit people be asking for Take your shoes off this that special floor Make 'em kiss my testicles Bounce on this dick like it's a sixty-four Versace belt, and like a mistletoe Point missiles at your car door, back door, front door I'm riding a Gallardo I fuck with bitches that'll put you on her ride door Pocket full of brick fare, hit you when I get there They ask me if I'm the shit, I had to tell them shit ya When there I ain't sit there what I spent there was your rent fare Mink coat like a pimp wear Take your bitch when I wink at her Kill your ass in a pink sweater Niggas know not to fuck with me Drinking",1
R&B,"You made a promise I won't forget You were dishonest ever since we met If I could count the times you told me with love in your voice That you'd make an honest choice Don't you remember anything that you said? Forgot the memories that fell through the net You go on and on I can sing along cause you're the echo that's in my head Don't you remember anything that you said? Forgot the memories that fell through the net You go on and on I can sing along cause you're the echo that's in my head Such repetition, cause for concern I shouldn't listen, but I never learn If I could count the times you told me with love in your voice That you'd make an",3
Electronic,"a new goal I'm changing my ways where money applies this is not a love song This is not a love song This is not a love song This is not a love song This is not a love song This is not a love song I'm going over to the other side I'm happy to have not to have not Big business is very wise I'm inside free enterprise This is not a love song This is not a love song This is not a love song This is not a love song This is not a love song Not television Behind the curtain Out of the cupboard You take the first train Into the big world Are your ready to grab the candle Not television, Not",2
R&B,"mind, nothing left behind Oh, so I give you my love It's all that I have to give Oh, I give you my love And the life I have left to live Oh, I give you my love Yeah, I give it Oh, yeah, I give you my love I give you my love I give you my love",3
Country,"To steal him's been your number one ambition Bur sister here's one safe that you don't have to crack I'll hand him over under one condition A deal's a deal and you can't give him back Cause he's a good ole boy Good for nothing Good at lying, good at loving Good at leaving When the rent comes due He's a good ole boy and I'm a good ole girl So I'll give him to you Go ahead and take him with my blessing He might even let you be his Sunday girl If your not used to worrying and guessing He'll soon shake up your cozy little world Cause he's a good ole boy Good for nothing Good at lying, good at loving Good at leaving When",0
Hip-Hop,"sky Don't let me fall I was shootin' for stars On a Saturday night They say what goes up Must come down But don't let me fall Don't let me fall Don't let me fall They say what comes up Must come down But don't let me fall Don't let me fall Don't let me fall Don't let me fall They say what goes up Must come down But don't let me fall Don't let me fall Yeah, not far much lower From where that pavement is 'Cause there ain't no parachute That they can make for this 'Cause I put my pain my heart My soul my faith in this Does anyone feel like how I feel Then you can relate to this Just a blaze of",1
R&B,"go just one step further Betty Joe Johnson Yeah, and that's how I know you Looked at the places talked of the faces in life he'd seen Then he turned the pictures upside down Said it don't make no difference how many places that you've been Said the world keeps goin' round and round Goin' round and round",3
Electronic,"Here we come, we got funk, [Repeat: x2] Somebody, somewhere, sex with me, Here, here we come, we got funk [Repeat: x2] Next to me [Repeat: x6] The disco, the disco, the disco, that's gotta be right, [Repeat: x4] That's gotta be right, down to the midnight, to start Down to the disco, the disco, the disco, Down to the midnight, the start to the midnight, start to the midnight, That's gotta be right There's a tense young man that's goin' round, turnin' the joint, outside down, [Repeat: x2] Down to the disco Start to the midnight, down to the disco Down to the disco",2
Country,Way Back home where the cypress grew In a clapboard shack on the black bayou Live a woman and a man that I call Mom and Dad And Times were hard and times were tough We barely had nothing' but we didn't need much Except for the love of a woman and a man Daddy worked his fingers to the bone But I know my momma was the reason he was strong [Chorus] Everybody knows if the cold wind blows The seeds don't sprout and the crops won't grow Even though you've done the best you can And when you're living in a house that you don't own And the money in the bank is almost gone The only thing in life I know that stands Is the,0
Hip-Hop,"I should have a hundret tattes Celebrate your death, toast bottles and clap beers Its gon be a cold summer, come through like burr The red phantom bullshittin, the 25 steeb curbes The B S H just blaze in this muthafucka The cars outside, the caves in this muthafucka I should let off a couple straighs in this muthafuck Fuck that. kinda get laid in this muthafuck Yo, tell your friends to get wit my friends Yeah, meet me in the parking lot, license plate aftermath Between me now and fuck 50, wouldnt snitch for halve his cash If he wastn such a bitch, nobody woulde have to blast Still his down in jacksonville, dont make me have to rap your jack Cause I rather be in Saint",1
Electronic,"honeycomb. keep up as the same queen and lady keep it standing steady, You're the only thing sweeter than my honeycomb. Buju: Caan watch the finance things nuh all that balance Through the grace of the lord we shall find our bread. Baby love nuh make the lack of funds get to yuh head What provide is enough don't have no reason fi beg. Yu ah my girl now let's move on ahead. I've got plans for yu, so much we got to do. Nuh mek nuh man bust yu salad wid no idiot tackle. Beres: Repeat Verse 1 Buju: You may be someone else lady before But yu ah my girl now, my woman now. Almshouse weh use to gwaan dat caan gwaan no more Cause yu",2
R&B,"Here you come, walking my way So much inside me I wanna say, I've been holding on For the longest, longest time And I finally got the nerve To tell you how I feel about you, the nerve I can't live without you The nerve to tell you what's been on my mind for a lifetime And I finally got the nerve I found the words to say, I've got the nerve Can't wait another day, I've got the nerve Don't wanna lose it this time I'm trying to make Tryin' to make a connection But I'm afraid that there might be rejection on your part It would break my heart in a million pieces Can't go through it (Through it) Another day I gotta let you know,",3
Country,I wonder what the power is that you hold over me I never get to love you long just your memory And I make a vow each time you leave that this will draw the line Then you come back and just like now I'm falling one more time One more time my lips may kiss you one more time my arms may hold you But it won't belong until you're gone with a mem'ry left behind And I just know that when you go I'll be lonely one more time Your nearness makes me weaken and I give into you And I'm doing all the things I said that I wouldn't do And I make a vow each time you leave that this will draw the line,0
R&B,"I'm ridin' my own lane Same time next year I'll be hoping that you're still here Doing a little better than you did this year, baby 'Cause you're my good girl And you deserve everything that is good in life Ooh Yeah and I promise that we can make up for lost time You always held your temper when I lost mine And you always understood what's on a boss mind So I swear I'd save your life if it costs mine That's on everything, baby, I'd take a bullet for you Pull for you when no one else is pulling for you 'Cause you did it for me You said we'd make it happen When they laughed and said I would never make it rappin' Huh, but",3
Electronic,Sometimes you feel lone Sometimes you feel sad and when you come home fall into your bed you weep all night long no way to get out still I know some words you should think about Don't forget Love will not die You fought in th street: stood up against war but things became worse and hope was no more then all your companions had left you alone you'll never give up you always go on Don't forget Love will not die Remember the days long time ago when people were fighting against Vietnam war and in these days of hate and despair they put some flowers into their hair,2
Country,"in my prayers Well at night as I kneel by my bedside to pray I'll remember you, love, in my prayers",0
Hip-Hop,"Atmosphere - Abusing The Rib Lyrics i wanna follow the footprints across my lovers stomach i wanna call out her name before i plummet i wish i had a map of the terrain so i could step around the landmines avoid the beasts under the bed that breathe at bad times i wanna find these here so-called treasures the pleasures the trinkets the never-ending weekends acknowledging that i'm still just a piece of the sequence but seein these different footprints got me needin to show my WEAKNESS TIMELINES, timezones i cross em with my eyes closed memorize the landmarks and learn the cycles the weather patterns how the seasons affect the east and the west of each region learn the cycles forget about the fact that many trails",1
R&B,"Lets talk about the question of what you should or shouldnt think I dont think you know it. Cause youre drinking at their place Make up your mind, dont sit here wasting my time. You just said youre a nazi, so why are you in my face I feel my blood is pumping My heart nearly stops, forgets to beat I know that he is watching Though I try to ignore we always seem to meet All of a sudden theres a guy in front of me He said I heard you hate us, oh but I wanna be your friend Is this a fucking joke, I will never understand Why these guys, these guys care about me I feel my blood is pumping, my heart nearly stops,",3
Country,"I know that you're leavin', it feels like you're gone I tried to stay by your side, and I tried to be so strong I tried to stay and be everything that I could for you Daddy sunshine rain all I bring to you are cloudy days and you're gone You left on a late night train, headed out of town in the pourin' rain Left me cryin' all alone Didn't even say goodbye, just a note on the pillow that made me cry Said that you're leavin', turned and gone, oh but you said I did nothin' wrong I know that I was not the right guy then for you But I stayed by your side and I tried to be so true If I did nothin'",0
R&B,Get down with this love of mine The feeling is right And the time is right now Oh the feeling is right I got to have your love I said the feeling is right And the time is right now Sometime you make me feel like,3
Hip-Hop,"said fuck me Keepin' no grip, even ignorance is bliss I love foreign tits and her clitoris Beat the pussy down like my nemesis Make the pussy drip like I slit her wrist, but Who gettin' that money, money? Real mothafuckin' money, money Saw a dude dog, got cashed out Bought a new bitch and a new house like Woke up early, kissed this bad bitch Rolled me up a blunt, then I took a piss Can't remember what I did last night I'm just tryin' to spend a hunnid stax everyday of my life Money is the anthem Black girls in the bedroom, white girls in the bathroom Fuck what I did last night I'm just tryin' to spend a hunnid stax everyday of my life What?",1
Country,count them everyone but I can't count that far I'm fillin' up a washing tub... [ steel ] I'll take the brush you used and given me to brush all fear And brush away my thoughts of you that linger round so near Put on my walking shoes I got when you gave me the air Go out and found somebody new someone who really care I'm fillin' up a washing tub...,0
R&B,their pay There is no resistance to the signs along the way standing all in columns waiting to make their pay making the nature scene Waiting for the day There is no resistance to There is no resistance to Salvation means to count on you It just means to count on you Make the nature scene Making the nature scene Making the nature scene Making the nature scene,3
Country,"Oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh Pretty thing you're making me go back Looking like a Shania Twain throwback Picture perfect girl I gotta post that Sippin' 7 and 7 in your 7 jeans Put on a string, a little rip on the seam A southern boy's dream, like a movie scene So go on shake your thing like a leaf Nobody gonna see it but the moon and me Come on You know you got that fire right Girl you my good good Giving me a chance to make your night You know that I would would You wanna dance girl I'll get you spinning You wanna see the world I'll be your ticket I'll put your hand in my hand",0
Country,Every night I go out somebody asks me whatever happened to you I just say that I haven't seen you lately and then I say my friend I thought you knew That we split the blanket down the middle cause we could never get along We split the blanket down the middle that's all you can do when love is gone Well I tell 'em that we tried and tried to make it But we couldn't solve what was the use To hang on to love it's only mis'ry so now I'm fancy free and foot loose Yes we split the blanket,0
Hip-Hop,"the tire Hollow tips'll make it feel like a nigga on fire Everybody got to go it's the truth So I figure while I'm waitin' on my turn I'ma blow up the booth I seen niggas in wheel chairs, eye patches and crutches Arm slings that came home to have and dutches We can go there but need I shoot Put some holes in your Fila suit You'll probably 'url when you see my crew I play the hood all the time because I don't give a fuck! You can shoot me down as long as I keep gettin' up what! If some shots may happen to go off tonight Don't worry about me I be aight Niggas could waste ammo firin' at me Because I'm God's child",1
Country,I think I'll lay down on the banks of the corners of my mind Send my mem'ries and dreams for a walk While I listen to the sunset as it hides behind the mountain Give the clouds in the sky a chance to talk And make friends with a world that I daydream and love in And shake hands with the freedom at my feet Yes I will lay me down and let me breathe the ripples of the water Flowing from a little mountain creek And tell the world what I think of it and holler out I love you And chase a little butterfly with some little boy or girl A running barefoot on the concrete of this beautiful creation Hot diggety dog hot diggety world,0
Hip-Hop,"(Taste it, taste it, taste it) [Repeats] Here we go Hey yo, ladies where you at c'mon c'mon Ladies where you at c'mon c'mon You ready to freak out ladies? Yeah, soldiers We 'bout to line it up just right Check it, watch how we do it Make way for the kid to come in girl And let me rock cause I love the way you pop that (C'mon) Every single time we come to drop that A lot of freaky women react to a nigga hot track (Lets go) Then we start to cook up the place Women watching the nigga with the ready to do the (UGH!) look on their face (C'mon) Freak nasty, you know the way you do it all on the guard And",1
Electronic,"Take one last breath You're about to jump to your death You're about to jump to your death Sail away from the shoreline Sail away from the shore I'm in front of Heaven's door. Sail away from the shoreline Sail away from the shore I'm in front of Heaven's door. Captain! Captain! Before the sail rips Captain! Captain! I see the enemy ships Captain! Captain! Before the sail rips Gasp for air ABANDON ALL SHIPS! The currents strong, the waves will rise The binding chains made me realize Sin is the anchor, holding you down. I'm on a cruise to Paradise. I'm done with sin, I've paid my price. God is your captain, change your direction ABANDON ALL SHIPS! We'll part the sea (Choose your side) Don't come",2
Country,When I am sitting in traffic some afternoon Or bored to death in some waiting room I am gonna close my eyes and picture you Today You keep brushing that hair back out of your eyes And it just keeps falling and so do I I am feeling like the luckiest man alive Today And I don't know about tomorrow Right now the whole world feels right And the memory of a day like today Can get you through the rest of your life I know it won't always be like this Life can change as quick as a kiss It's not over yet and I already miss Today And I don't know about tomorrow Right now the whole world is right And the memory of a day,0
Hip-Hop,"Money gon' work for me, all it wants This for the fam, I ain't gotta front Say I'm so cold, where I got it from? All that ass, where you got it from? She know to never ask where we got it from Way too brash, where you got it from? Yeah, where you got it [Verse 2] I give shit when I don't get my way, I throw fits and I lit this And I just need this dank, can't Look shawty shawty, kitchen kitchen Bending business before we ever did it Gon' be here long after long as I get my fix And I been kinda problematic But that ass give me visions I just gotta see As soon as I do it, I don't trip",1
R&B,"Baby, when I found out you were lyin' Playin' around and connivin' Undesired tears I was cryin' `Cause sugar coated lies I was buyin' I was just a backseat driver in a car of love Goin' wherever you take me Don't know why I put up with the pain `Cause nobody else could make me You got me goin' [Stoned out of my mind] You got me goin' [Stoned] Hey, hey [Out of my mind] You got me goin' [Stoned out of my mind] You got me goin' [Stoned] Hey, hey [Out of my mind] When you led me to the water I drank it Man, I drank more than I could hold When you took my mind and body You know you want to take my soul",3
R&B,"want to know you, and everything that you are. Repeat Chorus I never knew life could be so tough, or that this race would be so rough. But though I struggle, I know I'll be alright in the end. Cause everytime that I fall down, you have always been around to be near me; to wrap me up in your arms again. How you shower me with grace everytime I see your face, and you love me. So that I don't want to do wrong. So to you I sing this song, and I pray for help to keep on going, never stop, oh yeah. Repeat Chorus Oh,through my life story, I want to give you glory. Life tries to bring me down, for your love, I'll stand",3
Hip-Hop,nothing left in here That's surprising baby prising baby,1
Hip-Hop,"I could go number one ten times Pretty girls that like my rhymes You can say Bubba ain't gonna shine Guess wha, wha, don't really give a hootnanny I could go number one ten times Pretty girls that like my rhymes You can say Bubba ain't gonna shine Guess wha, wha, don't really give a hootnanny Now I done banged a heap of Betties in various modes of transport 'N told them as they exit be sure that they close the damn door The quiet country types is usually those I'm scared for ?? Some scared at first, but usually those demand more Really ain't conceited, I just call myself the cutterbug A horny little parasite that all the women love to love Tell you what it is",1
Hip-Hop,"the head have you kissing the floor See, that's where niggas get it twisted With the industry shit or that in the street shit Niggas heads or tails, thought you was loco Till I put that ass in that chokehold, oh oh Told y'all niggas from the get go Dawgs in jail, nigga, I get low and get down Shit, when I hit town Smell whole summer, put your shit down Ride till I die, I'm a motherfucking soldier I let my gun talk, Jesus Christ on my shoulder Devil is a lie, no fears in my eyes I told you, I'mma ride till this motherfucker's over Ride till I die, I'm a motherfucking soldier Let my gun talk, Jesus Christ on my shoulder Devil is a lie,",1
Hip-Hop,"dum, de, dum, de, don't doubt me Roll, like can get rolled over come, come and get you some De, dum, de, dum, de, dum, de, dum, de, don't doubt me Roll, like can get rolled over come, come and get you some De, dum, de, dum, de, dum, de, dum, de, don't doubt me Roll, like can get rolled over come, come and get you some De, dum, de, dum, de, dum, de, dum, de, don't doubt me God first then we second for musics a blessin' Servin' it from lyin' then I ain't Bryon And I'm fryin' and lessons of a ghetto kids Who feelin' fiends cribs where everybody keeps dyin' And everybody's takin' nobody years in science If signs exist in the times we tint",1
R&B,"every lifetime, time will make its Final sever, nothing ever lasts forever. Use me, oh so very wisely, or grow Old only to despise me, seconds pass who can ever possess, moving on with Such grace and finesse, victims caught in a web of quest, crying out trying To achieve their best, time I am the only killer of all, I am your eternal Downfall",3
Electronic,why do you judge my life You don't even know me You say that I'm not living right You don't understand me So why do you judge my life You don't even know me You say that I'm not living right You don't understand me So why do you judge my life You don't even know me You say that I'm not living right You don't understand me So why do you judge my life You don't even know me You say that I'm not living right You don't understand me So why do you judge my life You don't even know me You say that I'm not living right You don't understand me So why do you judge my life Who are you You say I'm not,2
R&B,"my day Feel like hell every day Hopin' I get through to you 'cause I sure miss you Come back, come back to me Hook I never wanted to swallow my pride I tried to play it cool, so cool Girl, if we only could go back in time I wouldn't hold back a damn thing from you Hook",3
R&B,are sure of i'll trust the lover lover of my soul,3
R&B,"I almost turned and walked away But there are words in me that I have to say You fill the empty space in my heart You came out of nowhere to rescue me Now I have a reason to give the best of me [Chorus] And I'm learning to love again Starting out as friends When I need someone to console me On you, I can depend I'm learning to love again Finally my heart's beginning to mend And I'm learning to love again I must admit, I was so afraid Don't know if my heart could take another break You came and chased the clouds away (Chased the clouds away) You tell me that I don't have to be lonely You tell me that you'll be there",3
Electronic,"[Intro] Wave them off, wave them off Enemies inna yo life wave them off Wave them off, wave them off Informers.nuh say nothing [Verse one] Damn! Di enemies a plot and them a scam Them doh wanna see yo with baby cham So them come like a lamb A tell how I dont give a damn And how yo deserve to have a better man A you a wear di wedding band And diamond a freeze off yo hand A nuff a them a one night stand So di enemies a plan fi get between you and yo man Them woulda mash up yo life if they can So tell me [Chorus] Girl how can i make you see that All di rumours you been hearing nuh me",2
R&B,"You know it takes two. It takes two, baby. It takes two, baby, just me and you. You know it takes two. Yeah. It takes two, baby. It takes two, baby, just me and you. You know it takes two. Ha! One can go out to a movie looking for a special treat. Two can make that single movie something really kind of sweet. And one can take a walk in the moonlight thinking that's it's really nice. But two lovers walking hand in hand is like adding just a pinch of spice. It takes two, baby. It takes two, baby., just me and you. You know it takes two. It takes two, baby. It takes two, baby, just me and you. You know it takes two. Ooh",3
Hip-Hop,"know What to do wit' it, 'cause it might just Come back on you ten-fold I said Be careful what you wish for 'Cause you just might get it And if you get it then you just might not know What to do wit' it, 'cause it might just Come back on you ten-fold",1
R&B,I'd make it up to you Given a chance I'd prove this world was wrong Given a chance I'd give my all to you I'm gonna teach this world a lesson And I'm n-n-n-n-never gonna let you fall [Hook],3
Hip-Hop,"[hook] And you write And you write And you write And you write And you write And you write And you write And you write And you write I'm Joe Piscopo I'm an original But the kids don't know I was spitting flows before flip phones Back when it wasn't cool to rap about sniffing coke And you right It might be a shit show But you ain't fuckin with this, bro Your WiFi got no signal Fifi sucking on my biggest toe And now I'm all up On her money in the middle And I don't even have to disrobe I keep my boxers on And use the dick hole Roll the window down And feel the wind blow Mama in the back of the Honda Getting",1
Hip-Hop,"[U.G.K. Insert] {Yung-Ro ad-libs} [Verse 3: Yung-Ro] -Let me see it, let me see it From the back, to the front, to the side I'm in the back, now here it cum, girl open wide Don't be ashamed, do ya thang, 'cause I'ma do mines Tell ya man that I got 2 nines, so lil daddy do you mind? If I do what I'm supposed to do It's pimpin' baby, I'm fly I'm supposed to screw Every bitch in the vacinity I'm on Hypnotiq and Hennessy and you askin' what the hell don' gotten into me I'm 'finna be, leavin' the scene with yo hoe Just like I'm 'finna be turnin' 22, and that's comin' fa'sho That's for Ro, just pimp-tastic baby Need a bitch, break a bitch-up,",1
Hip-Hop,"Ay yo I'm slippin', I'm fallin', I can't get up Ay yo I'm slippin', I'm fallin', I can't get up Ay yo I'm slippin', I'm fallin', I gots to get up Get me back on my feet so I can tear shit up Ay yo I'm slippin', I'm fallin', I can't get up Ay yo I'm slippin', I'm fallin', I can't get up Ay yo I'm slippin', I'm fallin', I gots to get up Get me back on my feet so I can tear shit up I've been through mad different phases like mazes, to find my way And now I know that happy days are not far away If I'm strong enough I'll live long enough to see my kids Doing something more constructive with their time",1
Hip-Hop,"training bras Wet behind the ear, you're not prepared For the project flow, with extra stairs I pass out a vest to wear (bullets, flying) Yo, the hard wire, starting barn fires Pulling mad, so you know it's me And your weed got more seeds than ODB Can't smoke with ya, watch Ghost tie rope to ya Def and Wu will open ya Eat a dick like Baby shake your shit, girl you're thick like Getting rich like ""There's no love to be found"" Word it's me y'all We in two-six's flirting with bitches Dime plus taking pictures, how you doing baby? My name Ghost Don't get caught up in my chains, or the way that I speak Seek intelligence, slickest nigga going since ""Grease"" Check out the",1
Hip-Hop,"Yeah! Hey, girl let me get right to the point I don't wanna waste no time I made reservations for us, No dress code, clothes are optional But wait, girl, before you grab your coat I need to warn you, you might get dirty Don't worry about it, cause you might not need it at all! Oh, yeah! I'm about to take you in the clouds, clouds Ain't nobody up there, girl you're loud, Really hope you ain't afraid of heights! Cause we're going to the sky tonight! [Chorus:] Hang on, it's about to get rough when I put that thing on you, I know you've been waiting on all day for this, ?, play with it, girl! Ain't no hurry, I'm a stay in here! Girl, if",1
Hip-Hop,"in the house Richard Consen's in the house... Good night Amsterdamn Now I want you all to break this down... To all the girls, all the girls You liked it, some of it's...",1
Hip-Hop,"and none of it's real Wake up tomorrow right back in the struggle Tryna come up and build I don't know this shit gets deep and ignorance is bliss It's all I've ever loved, I waited my whole life for this, yeah I waited all my life for this (I swear I waited so fucking long) They told me that I won't make it (We used to say, yeah, we used to say) All my life for this They told me that I won't make it (We always knew this shit would happen, yeah) But I made it Yeah, reporting live from NYC Two thousand and fifteen and forever Yeah, uh, yeah I don't know how to end this shit Yeah, uh, yeah I waited all my life",1
Hip-Hop,"struggling in this white man's world (We must fight) Who knows what tomorrow brings In this world where everyone lies Where to go no matter how far I find To let you know that you're not alone So tell me why you changed, choosing new direction In a blink of an eye my time away just made perfection You think I'd die not gonna cry, why should I care? Like we holding on to love thats no longer there Can you please help me? God Bless me please Keep my seeds healthy, banging on my enemies bleed While my G's healthy, hoping they bury me With ammunition, weed, and shells Just in case they trip in heaven ain't no G's hell Sister sorry for the pain that I",1
R&B,I hope (I hope) She lights that candle I hope (I hope) She shows me everything And all that light can bring Her skin (Her skin) It begs my worship Like a mad temple crown I crush her shape goes down We melt up from the ground Up to better times Sweet release Take me now Take me now Up to better times Sweet release Take me now Take me now Doubt (Doubt) Right behind me Rour clout just a blemish on the sun And there's better times to come Our love (our love) This cloak and dagger This silent will To bright turn everything And find the road that leads Up to better times Sweet release Take me now Take me now Up to better times Sweet,3
